arm,block,block_rank,rank_in_subtype,gene,model_score,target_class,druggability,small_molecule_tractable,antibody_tractable,some_drug_already_hits_this_gene,documented_safety_liability,liability_detail,why_the_model_ranked_it,REVIEW_plausible_1to5,REVIEW_already_known_to_you,REVIEW_worth_pursuing,REVIEW_comment
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,9,9,PIK3CA,0.994,Enzyme,Enzyme,True,True,True,True,No significant results|drug toxicity|heart disease|regulation of catalytic activity,"dwpc_GBGD (+1.30), ppi_multi_source_frac (+0.90)",,,,
"Breast carcinoma (umbrella, reference)",A. known target - sanity anchor,10,10,CTNNB1,0.9935,Unclassified protein,Unclassified protein,True,True,False,True,"neutropenia|response to cyclophosphamide, dexamethasone, and thalidomide|response to thalidomide","ppi_adamic_adar (+1.62), dwpc_GBGD (+1.48)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,1,45,SMARCA2,0.9875,Epigenetic regulator,Epigenetic regulator,True,False,False,False,,"ppi_adamic_adar (+1.29), dwpc_GBGD (+1.23)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,2,62,MAPK3,0.9852,Enzyme,Enzyme,True,True,False,True,heart disease|regulation of catalytic activity,"dwpc_GBGD (+1.45), ppi_adamic_adar (+1.29)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,3,69,STAT1,0.9845,Transcription factor,Transcription factor,True,False,False,False,,"ppi_adamic_adar (+1.23), ppi_multi_source_frac (+1.03)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,4,74,EGR1,0.9841,Transcription factor,Transcription factor,False,False,False,True,regulation of transcription factor activity,"ppi_adamic_adar (+1.27), dwpc_GBGD (+0.93)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,5,78,IRS2,0.9836,,intracellular,False,True,False,False,,"dwpc_GBGD (+1.17), ppi_multi_source_frac (+1.01)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,6,81,IRS1,0.9833,Unclassified protein,Unclassified protein,True,True,False,True,neutropenia,"ppi_adamic_adar (+1.21), dwpc_GBGD (+1.03)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,7,92,GSK3A,0.9823,Enzyme,Enzyme,True,False,True,True,heart disease,"ppi_adamic_adar (+1.14), dwpc_GBGD (+1.04)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,8,96,ZAP70,0.9811,Enzyme,Enzyme,True,True,False,True,cardiac arrhythmia|regulation of catalytic activity,"ppi_adamic_adar (+1.22), ppi_multi_source_frac (+1.14)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,9,104,IQGAP1,0.9805,Unclassified protein,Unclassified protein,True,True,False,False,,"ppi_adamic_adar (+1.19), dwpc_GFGD (+0.70)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,10,110,SMARCD2,0.979,Unclassified protein,Unclassified protein,False,False,False,False,,"dwpc_GBGD (+1.08), ppi_adamic_adar (+1.00)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,11,114,BLK,0.9788,Enzyme,Enzyme,True,True,True,False,,"ppi_adamic_adar (+1.09), dwpc_GBGD (+0.83)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,12,115,HDAC3,0.9787,Epigenetic regulator,Epigenetic regulator,True,True,True,True,regulation of catalytic activity,"dwpc_GBGD (+1.23), ppi_adamic_adar (+1.03)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,13,117,AHR,0.9785,Transcription factor,Transcription factor,True,False,True,True,"Accumulation, Liver lipid|Formation, Hepatocellular and Bile duct tumors|Increase, Early Life Stage Mortality|N/A, Breas","ppi_adamic_adar (+0.96), dwpc_GBGD (+0.68)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,14,118,TOPBP1,0.9782,Enzyme,Enzyme,False,True,False,False,,"dwpc_GBGD (+1.01), ppi_multi_source_frac (+0.95)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,15,127,HIPK2,0.9769,Enzyme,Enzyme,True,False,False,False,,"ppi_adamic_adar (+1.12), dwpc_GBGD (+0.96)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,16,131,KAT2B,0.9763,Epigenetic regulator,Epigenetic regulator,True,False,False,True,drug dependence,"ppi_adamic_adar (+1.23), dwpc_GBGD (+1.16)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,17,135,AXL,0.9755,Enzyme,Enzyme,True,True,True,True,coronary artery disease,"ppi_adamic_adar (+1.16), dwpc_GBGD (+0.91)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,18,136,FANCM,0.9754,,intracellular,False,False,False,False,,"ppi_multi_source_frac (+1.33), ppi_adamic_adar (+1.29)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,19,139,GAB2,0.9749,,membrane / cell-surface,True,True,False,False,,"ppi_adamic_adar (+1.05), ppi_multi_source_frac (+0.91)",,,,
"Breast carcinoma (umbrella, reference)",B. NOVEL candidate - please assess,20,140,SOX9,0.9748,Transcription factor,Transcription factor,False,False,False,False,,"dwpc_GBGD (+1.23), ppi_adamic_adar (+0.75)",,,,
