model,disease_index,auc_assoc,n_assoc,auc_drug,n_drug,hits_at_50
m1   7 features,48413,0.843297053189735,180,0.9727008279257104,1.0,0.0
m1   7 features,48428,0.898187334850732,394,,,
m1   7 features,48442,0.8832761639332547,38,,,
m1   7 features,48449,0.8393925086559647,90,,,
m1   7 features,48450,0.8959464762986802,643,,,
m1   7 features,48481,0.8986774308744006,207,,,
m1   7 features,48488,0.8637626262626262,270,,,
m1   7 features,48490,0.9043956523909354,108,,,
m1   7 features,48493,0.8854259114243452,90,,,
m1   7 features,48496,0.9391449787326076,55,,,
m1   7 features,48510,0.8648076198396507,41,,,
m1   7 features,48511,0.8875793019189383,480,,,
m1   7 features,48512,0.8600609694951966,84,,,
m1   7 features,48514,0.8286625266980286,86,,,
m1   7 features,48515,0.8240438941390934,206,,,
m1   7 features,48517,0.8632452209608434,359,,,
m1   7 features,48524,0.8198790380993771,54,,,
m1   7 features,48531,0.8189194108422939,18,,,
m1   7 features,48537,0.8838319155244176,599,0.9974737185233478,1.0,1.0
m1   7 features,48543,0.8645467962356008,22,,,
m1   7 features,48546,0.8854680984985568,123,,,
m1   7 features,48561,0.7820050073023159,40,,,
m1   7 features,48563,0.9112773985228881,94,,,
m1   7 features,48575,0.7258687258687259,22,,,
m1   7 features,48583,0.856336387013822,36,,,
m1   7 features,48588,0.9027111206636295,181,,,
m1   7 features,48592,0.884375756212445,51,,,
m1   7 features,48600,0.49652804273178175,5,,,
m1   7 features,48607,0.8682571749238416,84,,,
m1   7 features,48612,0.760729368249459,38,,,
m1   7 features,48617,0.9155476717275756,18,,,
m1   7 features,48619,0.8647882127845795,210,,,
m1   7 features,48628,0.9069364947398715,44,,,
m1   7 features,48634,0.866302718903875,26,,,
m1   7 features,48646,0.8863421550094518,66,,,
m1   7 features,48647,0.8754017772735867,150,,,
m1   7 features,48650,0.8927958512439755,144,,,
m1   7 features,48654,0.8428541091526863,17,,,
m1   7 features,48661,0.8610728656554981,184,,,
m1   7 features,48662,0.8005491380218391,95,,,
m1   7 features,48670,0.8425298025171958,31,,,
m1   7 features,48673,0.8390323331007211,22,,,
m1   7 features,48674,0.7872437357630979,15,,,
m1   7 features,48676,0.7839038909857904,64,,,
m1   7 features,48681,0.8533626620645166,165,,,
m1   7 features,48690,0.8226808644050854,68,,,
m1   7 features,48700,0.7166059870550162,15,,,
m1   7 features,48701,0.8383817221493235,23,,,
m1   7 features,48702,0.8752933683623916,53,,,
m1   7 features,48704,0.7045782691147315,24,,,
m1   7 features,48711,0.9008581610295414,236,,,
m1   7 features,48717,0.8779796343439019,29,,,
m1   7 features,48727,0.8755955447827172,525,,,
m1   7 features,48731,0.8504611529712823,80,,,
m1   7 features,48747,0.6950239476835222,33,,,
m1   7 features,48748,0.7706337737407102,14,,,
m1   7 features,48772,0.8354412346656114,19,,,
m1   7 features,48773,0.8248393469671312,108,0.8978502380608859,1.0,0.0
m1   7 features,48783,0.6536919831223629,5,,,
m1   7 features,48794,0.8097574603174603,35,,,
m1   7 features,48822,0.47447685478757134,4,,,
m1   7 features,48841,0.5876556672356028,24,0.37233975569827477,3.0,0.0
m1   7 features,48843,0.6272543569119154,72,0.5676110106489853,7.0,0.0
m1   7 features,48850,0.8790511659565252,218,0.18145285935085007,2.0,0.0
m1   7 features,48852,0.6951499406535377,33,0.6875596184419713,5.0,0.0
m1   7 features,48872,0.5384076377332049,7,,,
m1   7 features,48880,0.6510751737004632,29,,,
m1   7 features,48896,0.9822537710736469,2,,,
m1   7 features,48911,0.3024756986634265,4,,,
m1   7 features,48912,0.6737223722372238,22,,,
m1   7 features,48922,0.5930974354612342,7,,,
m1   7 features,48941,0.8968426016640589,44,,,
m1   7 features,48962,0.648259587020649,25,,,
m1   7 features,48984,0.5434842043991321,49,,,
m1   7 features,48986,0.8232004588471465,12,,,
m1   7 features,49054,0.6003536667933164,59,,,
m1   7 features,49074,0.8012782005072754,44,,,
m1   7 features,49123,0.36380597014925375,4,,,
m1   7 features,49128,0.9454833684740536,43,,,
m1   7 features,49131,0.644252261841405,25,,,
m1   7 features,49132,0.5668361993407978,59,,,
m1   7 features,49380,0.5372251539138083,18,,,
m1   7 features,49543,0.7330182072829131,7,,,
m1   7 features,49644,0.5497844326920664,107,0.5085312427945584,2.0,0.0
m1   7 features,49670,0.6123809003496503,65,0.6926359138168608,9.0,0.0
m1   7 features,49673,0.9152683954383671,13,0.6819038642789821,9.0,0.0
m1   7 features,49712,0.864757274084226,258,,,
